tid	section_name	venue_name
6532	Main Floor	Howard Theatre
6533	Main Floor	Howard Theatre
6534	Main Floor	Howard Theatre
6536	Main Floor	Howard Theatre
6538	Main Floor	Howard Theatre
6540	Main Floor	Howard Theatre
6541	Main Floor	Howard Theatre
6542	Main Floor	Howard Theatre
6543	Main Floor	Howard Theatre
6544	Main Floor	Howard Theatre
6545	Main Floor	Howard Theatre
6546	Main Floor	Howard Theatre
6547	Main Floor	Howard Theatre
6548	Main Floor	Howard Theatre
6549	Main Floor	Howard Theatre
6550	Main Floor	Howard Theatre
6551	Main Floor	Howard Theatre
6552	Main Floor	Howard Theatre
6553	Main Floor	Howard Theatre
6554	Main Floor	Howard Theatre
6555	Main Floor	Howard Theatre
6556	Main Floor	Howard Theatre
6557	Main Floor	Howard Theatre
6558	Main Floor	Howard Theatre
6559	Main Floor	Howard Theatre
6560	Main Floor	Howard Theatre
6561	Main Floor	Howard Theatre
6563	Main Floor	Howard Theatre
6568	Main Floor	Howard Theatre
6570	Main Floor	Howard Theatre
6572	Main Floor	Howard Theatre
6573	Main Floor	Howard Theatre
6575	Main Floor	Howard Theatre
6577	Main Floor	Howard Theatre
6578	Main Floor	Howard Theatre
6579	Main Floor	Howard Theatre
6583	Main Floor	Howard Theatre
6584	Main Floor	Howard Theatre
6585	Main Floor	Howard Theatre
6586	Main Floor	Howard Theatre
6587	Main Floor	Howard Theatre
6588	Main Floor	Howard Theatre
6589	Main Floor	Howard Theatre
6590	Main Floor	Howard Theatre
6592	Main Floor	Howard Theatre
6593	Main Floor	Howard Theatre
6594	Main Floor	Howard Theatre
6595	Main Floor	Howard Theatre
6596	Main Floor	Howard Theatre
6597	Main Floor	Howard Theatre
6598	Main Floor	Howard Theatre
6600	Main Floor	Howard Theatre
6601	Main Floor	Howard Theatre
6602	Main Floor	Howard Theatre
6604	Main Floor	Howard Theatre
6605	Main Floor	Howard Theatre
6606	Main Floor	Howard Theatre
6607	Main Floor	Howard Theatre
6608	Main Floor	Howard Theatre
6609	Main Floor	Howard Theatre
6610	Main Floor	Howard Theatre
6611	Main Floor	Howard Theatre
6613	Main Floor	Howard Theatre
6614	Main Floor	Howard Theatre
6615	Main Floor	Howard Theatre
6616	Main Floor	Howard Theatre
6617	Main Floor	Howard Theatre
6620	Main Floor	Howard Theatre
6622	Main Floor	Howard Theatre
6624	Main Floor	Howard Theatre
6625	Main Floor	Howard Theatre
6626	Main Floor	Howard Theatre
6627	Main Floor	Howard Theatre
6628	Main Floor	Howard Theatre
6629	Main Floor	Howard Theatre
6631	Main Floor	Howard Theatre
6635	Main Floor	Howard Theatre
6636	Main Floor	Howard Theatre
6638	Main Floor	Howard Theatre
6639	Main Floor	Howard Theatre
6640	Main Floor	Howard Theatre
6641	Main Floor	Howard Theatre
6642	Main Floor	Howard Theatre
6643	Main Floor	Howard Theatre
6644	Main Floor	Howard Theatre
6645	Main Floor	Howard Theatre
6647	Main Floor	Howard Theatre
6648	Main Floor	Howard Theatre
6649	Main Floor	Howard Theatre
6650	Main Floor	Howard Theatre
6651	Main Floor	Howard Theatre
6654	Main Floor	Howard Theatre
6656	Main Floor	Howard Theatre
6658	Main Floor	Howard Theatre
6659	Main Floor	Howard Theatre
6660	Main Floor	Howard Theatre
6662	Main Floor	Howard Theatre
6663	Main Floor	Howard Theatre
6664	Main Floor	Howard Theatre
6665	Main Floor	Howard Theatre
6667	Main Floor	Howard Theatre
6668	Main Floor	Howard Theatre
6669	Main Floor	Howard Theatre
6670	Main Floor	Howard Theatre
6671	Main Floor	Howard Theatre
6672	Main Floor	Howard Theatre
6674	Main Floor	Howard Theatre
6675	Main Floor	Howard Theatre
6677	Main Floor	Howard Theatre
6678	Main Floor	Howard Theatre
6679	Main Floor	Howard Theatre
6680	Main Floor	Howard Theatre
6682	Main Floor	Howard Theatre
6683	Main Floor	Howard Theatre
6684	Main Floor	Howard Theatre
6686	Main Floor	Howard Theatre
6687	Main Floor	Howard Theatre
6688	Main Floor	Howard Theatre
6689	Main Floor	Howard Theatre
6690	Main Floor	Howard Theatre
6691	Main Floor	Howard Theatre
6692	Main Floor	Howard Theatre
6693	Main Floor	Howard Theatre
6694	Main Floor	Howard Theatre
6696	Main Floor	Howard Theatre
6697	Main Floor	Howard Theatre
6700	Main Floor	Howard Theatre
6701	Main Floor	Howard Theatre
6703	Main Floor	Howard Theatre
6704	Main Floor	Howard Theatre
6705	Main Floor	Howard Theatre
6707	Main Floor	Howard Theatre
6708	Main Floor	Howard Theatre
6709	Main Floor	Howard Theatre
6710	Main Floor	Howard Theatre
6711	Main Floor	Howard Theatre
6712	Main Floor	Howard Theatre
6713	Main Floor	Howard Theatre
6715	Main Floor	Howard Theatre
6716	Main Floor	Howard Theatre
6718	Main Floor	Howard Theatre
6719	Main Floor	Howard Theatre
6720	Main Floor	Howard Theatre
6721	Main Floor	Howard Theatre
6722	Main Floor	Howard Theatre
6723	Main Floor	Howard Theatre
6724	Main Floor	Howard Theatre
6725	Main Floor	Howard Theatre
6726	Main Floor	Howard Theatre
6728	Main Floor	Howard Theatre
6729	Main Floor	Howard Theatre
6730	Main Floor	Howard Theatre
6731	Main Floor	Howard Theatre
6733	Main Floor	Howard Theatre
6734	Main Floor	Howard Theatre
6735	Main Floor	Howard Theatre
6737	Main Floor	Howard Theatre
6738	Main Floor	Howard Theatre
6741	Main Floor	Howard Theatre
6742	Main Floor	Howard Theatre
6743	Main Floor	Howard Theatre
6744	Main Floor	Howard Theatre
6746	Main Floor	Howard Theatre
6748	Main Floor	Howard Theatre
