tid	seat	row	section_name	venue_name
1522	6	5	Balcony Booths	Howard Theatre
1523	8	10	Balcony Booths	Howard Theatre
1525	8	6	Balcony Seating	Howard Theatre
1526	3	10	Balcony Seating	Howard Theatre
1527	4	1	Balcony Seating	Howard Theatre
1529	5	7	Balcony Booths	Howard Theatre
1530	2	1	Balcony Booths	Howard Theatre
1531	9	3	Balcony Seating	Howard Theatre
1533	9	3	Balcony Booths	Howard Theatre
1534	4	2	Balcony Seating	Howard Theatre
1535	24	24	Orchestra	Vogue Theatre
1536	14	1	Orchestra	Vogue Theatre
1537	24	25	Orchestra	Vogue Theatre
1538	13	23	Orchestra	Vogue Theatre
1539	23	17	Orchestra	Vogue Theatre
1540	8	27	Orchestra	Vogue Theatre
1541	20	3	Upper Circle	Vogue Theatre
1542	1	22	Orchestra	Vogue Theatre
1543	20	24	Orchestra	Vogue Theatre
1544	23	4	Orchestra	Vogue Theatre
1545	11	10	Upper Circle	Vogue Theatre
1546	9	2	Orchestra	Vogue Theatre
1547	1	11	Dress Circle	Vogue Theatre
1548	13	25	Orchestra	Vogue Theatre
1549	14	27	Orchestra	Vogue Theatre
1550	15	12	Orchestra	Vogue Theatre
1551	15	3	Orchestra	Vogue Theatre
1552	17	2	Upper Circle	Vogue Theatre
1553	22	7	Dress Circle	Vogue Theatre
1554	6	1	Upper Circle	Vogue Theatre
1555	23	27	Orchestra	Vogue Theatre
1556	11	11	Orchestra	Vogue Theatre
1557	10	22	Orchestra	Vogue Theatre
1558	13	2	Dress Circle	Vogue Theatre
1559	22	3	Orchestra	Vogue Theatre
1560	5	17	Orchestra	Vogue Theatre
1561	1	24	Orchestra	Vogue Theatre
1562	6	2	Dress Circle	Vogue Theatre
1563	13	28	Orchestra	Vogue Theatre
1564	17	2	Dress Circle	Vogue Theatre
1565	24	9	Dress Circle	Vogue Theatre
1566	21	5	Upper Circle	Vogue Theatre
1567	9	10	Upper Circle	Vogue Theatre
1568	25	16	Orchestra	Vogue Theatre
1569	25	13	Orchestra	Vogue Theatre
1570	18	20	Orchestra	Vogue Theatre
1571	12	20	Orchestra	Vogue Theatre
1572	3	23	Orchestra	Vogue Theatre
1573	17	13	Orchestra	Vogue Theatre
1574	9	1	Upper Circle	Vogue Theatre
1575	20	3	Dress Circle	Vogue Theatre
1576	17	7	Orchestra	Vogue Theatre
1577	25	19	Orchestra	Vogue Theatre
1578	21	5	Orchestra	Vogue Theatre
1579	9	10	Orchestra	Vogue Theatre
1580	14	7	Upper Circle	Vogue Theatre
1581	13	11	Dress Circle	Vogue Theatre
1582	9	1	Dress Circle	Vogue Theatre
1583	17	21	Orchestra	Vogue Theatre
1584	7	9	Orchestra	Vogue Theatre
1585	8	8	Dress Circle	Vogue Theatre
1586	4	27	Orchestra	Vogue Theatre
1587	10	16	Main Floor	Burton Cummings Theatre
1588	14	18	Main Floor	Burton Cummings Theatre
1589	5	8	First Balcony	Burton Cummings Theatre
1590	4	12	Second Balcony	Burton Cummings Theatre
1591	9	7	First Balcony	Burton Cummings Theatre
1592	23	16	First Balcony	Burton Cummings Theatre
1593	26	12	Main Floor	Burton Cummings Theatre
1594	11	19	Main Floor	Burton Cummings Theatre
1595	2	19	First Balcony	Burton Cummings Theatre
1596	25	8	Main Floor	Burton Cummings Theatre
1597	11	20	Main Floor	Burton Cummings Theatre
1598	13	9	First Balcony	Burton Cummings Theatre
1599	11	2	Main Floor	Burton Cummings Theatre
1600	28	19	First Balcony	Burton Cummings Theatre
1601	7	17	Main Floor	Burton Cummings Theatre
1602	9	18	Main Floor	Burton Cummings Theatre
1603	6	16	First Balcony	Burton Cummings Theatre
1604	9	26	Main Floor	Burton Cummings Theatre
1605	19	1	Main Floor	Burton Cummings Theatre
1606	27	20	Main Floor	Burton Cummings Theatre
1607	20	18	Main Floor	Burton Cummings Theatre
1608	4	1	Second Balcony	Burton Cummings Theatre
1609	10	2	Second Balcony	Burton Cummings Theatre
1610	1	14	Main Floor	Burton Cummings Theatre
1611	1	7	Main Floor	Burton Cummings Theatre
1612	6	24	Main Floor	Burton Cummings Theatre
1613	7	1	Second Balcony	Burton Cummings Theatre
1614	5	27	Main Floor	Burton Cummings Theatre
1615	25	24	Main Floor	Burton Cummings Theatre
1616	20	1	Main Floor	Burton Cummings Theatre
1617	22	10	First Balcony	Burton Cummings Theatre
1618	18	2	Main Floor	Burton Cummings Theatre
1619	16	11	Main Floor	Burton Cummings Theatre
1620	21	14	Main Floor	Burton Cummings Theatre
1621	16	4	Main Floor	Burton Cummings Theatre
1622	14	7	Second Balcony	Burton Cummings Theatre
1623	9	12	Main Floor	Burton Cummings Theatre
1624	4	8	Second Balcony	Burton Cummings Theatre
1625	9	3	First Balcony	Burton Cummings Theatre
1626	11	17	First Balcony	Burton Cummings Theatre
1627	20	3	First Balcony	Burton Cummings Theatre
1628	18	26	Main Floor	Burton Cummings Theatre
1629	19	10	Second Balcony	Burton Cummings Theatre
1630	2	22	Main Floor	Burton Cummings Theatre
1631	12	8	Main Floor	Burton Cummings Theatre
1632	15	18	First Balcony	Burton Cummings Theatre
1633	12	14	Main Floor	Burton Cummings Theatre
1634	4	12	Main Floor	Burton Cummings Theatre
1635	27	2	Main Floor	Burton Cummings Theatre
1636	19	26	Main Floor	Burton Cummings Theatre
1637	13	20	First Balcony	Burton Cummings Theatre
1638	5	18	Main Floor	Burton Cummings Theatre
1639	2	11	First Balcony	Burton Cummings Theatre
1640	1	4	Balcony	Capitol Theatre Windsor
1641	14	15	Main Floor	Capitol Theatre Windsor
1642	13	8	Main Floor	Capitol Theatre Windsor
1643	23	16	Main Floor	Capitol Theatre Windsor
1644	1	20	Main Floor	Capitol Theatre Windsor
1645	11	16	Main Floor	Capitol Theatre Windsor
1646	18	16	Main Floor	Capitol Theatre Windsor
1647	1	3	Balcony	Capitol Theatre Windsor
1648	10	6	Main Floor	Capitol Theatre Windsor
1649	19	2	Main Floor	Capitol Theatre Windsor
1650	21	18	Main Floor	Capitol Theatre Windsor
1651	21	14	Main Floor	Capitol Theatre Windsor
1652	21	17	Main Floor	Capitol Theatre Windsor
1653	2	3	Main Floor	Capitol Theatre Windsor
1654	7	19	Main Floor	Capitol Theatre Windsor
1655	2	13	Main Floor	Capitol Theatre Windsor
1656	3	20	Main Floor	Capitol Theatre Windsor
1657	3	3	Main Floor	Capitol Theatre Windsor
1658	3	8	Main Floor	Capitol Theatre Windsor
1659	22	13	Main Floor	Capitol Theatre Windsor
1660	19	7	Main Floor	Capitol Theatre Windsor
1661	2	6	Balcony	Capitol Theatre Windsor
1662	5	10	Main Floor	Capitol Theatre Windsor
1663	12	11	Main Floor	Capitol Theatre Windsor
1664	12	6	Main Floor	Capitol Theatre Windsor
1665	20	10	Main Floor	Capitol Theatre Windsor
1666	16	4	Main Floor	Capitol Theatre Windsor
1667	6	18	Main Floor	Capitol Theatre Windsor
1668	7	6	Main Floor	Capitol Theatre Windsor
1669	20	18	Main Floor	Capitol Theatre Windsor
1670	1	5	Main Floor	Capitol Theatre Windsor
1671	15	17	Main Floor	Capitol Theatre Windsor
1672	25	19	Main Floor	Capitol Theatre Windsor
1673	25	14	Main Floor	Capitol Theatre Windsor
1674	13	5	Main Floor	Capitol Theatre Windsor
1675	22	1	Main Floor	Capitol Theatre Windsor
1676	14	12	Main Floor	Capitol Theatre Windsor
1677	12	1	Main Floor	Capitol Theatre Windsor
1678	15	9	Main Floor	Capitol Theatre Windsor
1679	13	7	Main Floor	Capitol Theatre Windsor
1680	4	1	Balcony	Capitol Theatre Windsor
1681	15	4	Main Floor	Capitol Theatre Windsor
1682	12	20	Main Floor	Capitol Theatre Windsor
1683	20	3	Main Floor	Capitol Theatre Windsor
1684	21	1	Main Floor	Capitol Theatre Windsor
1685	12	19	Main Floor	Capitol Theatre Windsor
1686	7	4	Balcony	Capitol Theatre Windsor
1687	18	5	Balcony	Capitol Theatre Windsor
1688	20	16	Main Floor	Capitol Theatre Windsor
1689	22	3	Main Floor	Capitol Theatre Windsor
1690	11	2	Balcony	Capitol Theatre Windsor
1691	10	3	Main Floor	Capitol Theatre Windsor
1692	9	1	Main Floor	Capitol Theatre Windsor
1693	1	19	Main Floor	Capitol Theatre Windsor
1695	26	23	Balcony 2	The Anthem
1696	22	15	Balcony 1	The Anthem
1697	41	18	Balcony 2	The Anthem
1699	48	4	Balcony 2	The Anthem
1700	42	19	Balcony 1	The Anthem
1701	31	10	Balcony 1	The Anthem
1703	33	10	Balcony 2	The Anthem
1704	5	18	Balcony 2	The Anthem
1705	26	7	Balcony 2	The Anthem
1707	5	21	Balcony 2	The Anthem
1708	48	4	Balcony 1	The Anthem
1709	30	22	Balcony 1	The Anthem
1711	48	24	Balcony 1	The Anthem
1712	22	4	Balcony 1	The Anthem
1713	43	25	Balcony 2	The Anthem
1715	50	10	Balcony 2	The Anthem
1716	7	23	Balcony 1	The Anthem
1717	3	21	Balcony 1	The Anthem
1719	20	10	Balcony 2	The Anthem
1720	13	7	Balcony 2	The Anthem
1721	11	21	Balcony 2	The Anthem
1723	39	22	Balcony 1	The Anthem
1724	10	3	Balcony 1	The Anthem
1725	43	21	Balcony 2	The Anthem
1727	15	6	Balcony 2	The Anthem
1728	8	6	Balcony 1	The Anthem
1729	16	1	Balcony 1	The Anthem
1731	4	10	Balcony 2	The Anthem
1732	29	4	Balcony 1	The Anthem
1733	45	6	Balcony 1	The Anthem
1735	43	10	Balcony 1	The Anthem
1736	19	3	Balcony 1	The Anthem
1737	42	1	Balcony 1	The Anthem
1739	26	3	Balcony 1	The Anthem
1740	46	20	Balcony 1	The Anthem
1741	45	17	Balcony 1	The Anthem
1743	23	18	Balcony 1	The Anthem
1744	48	10	Balcony 2	The Anthem
1745	4	17	Balcony 2	The Anthem
1747	35	6	Balcony 2	The Anthem
1748	19	14	Balcony 1	The Anthem
1749	20	24	Balcony 1	The Anthem
1751	4	5	Seated Balcony	Thalia Hall
1752	18	5	Seated Balcony	Thalia Hall
1753	23	6	Seated Balcony	Thalia Hall
1755	3	4	Opera Boxes	Thalia Hall
1756	4	1	Opera Boxes	Thalia Hall
1757	7	6	Seated Balcony	Thalia Hall
1759	3	8	Seated Balcony	Thalia Hall
1760	7	3	Opera Boxes	Thalia Hall
1761	17	9	Seated Balcony	Thalia Hall
1763	2	3	Opera Boxes	Thalia Hall
1764	2	10	Seated Balcony	Thalia Hall
1765	21	3	Seated Balcony	Thalia Hall
1767	3	2	Opera Boxes	Thalia Hall
1768	9	3	Opera Boxes	Thalia Hall
1769	6	3	Opera Boxes	Thalia Hall
1771	7	8	Seated Balcony	Thalia Hall
1772	1	2	Seated Balcony	Thalia Hall
1773	19	6	Seated Balcony	Thalia Hall
1775	20	6	Seated Balcony	Thalia Hall
1776	6	10	Seated Balcony	Thalia Hall
1777	16	10	Seated Balcony	Thalia Hall
1779	10	1	Opera Boxes	Thalia Hall
1780	20	8	Seated Balcony	Thalia Hall
1781	13	6	Seated Balcony	Thalia Hall
1783	15	5	Seated Balcony	Thalia Hall
1784	3	9	Seated Balcony	Thalia Hall
1785	5	9	Seated Balcony	Thalia Hall
1787	24	5	Seated Balcony	Thalia Hall
1788	25	1	Seated Balcony	Thalia Hall
1789	18	10	Seated Balcony	Thalia Hall
1791	13	7	Seated Balcony	Thalia Hall
1792	3	10	Seated Balcony	Thalia Hall
1793	8	4	Seated Balcony	Thalia Hall
1795	19	2	Seated Balcony	Thalia Hall
1796	5	2	Opera Boxes	Thalia Hall
1797	7	7	Seated Balcony	Thalia Hall
1799	10	7	Seated Balcony	Thalia Hall
1800	12	5	Seated Balcony	Thalia Hall
1801	11	2	Seated Balcony	Thalia Hall
1803	25	10	Seated Balcony	Thalia Hall
1804	19	7	Seated Balcony	Thalia Hall
1805	22	1	Seated Balcony	Thalia Hall
1807	24	8	Orchestra	Lincoln Theatre
1808	2	13	Orchestra	Lincoln Theatre
1809	22	20	Orchestra	Lincoln Theatre
1810	6	5	Upper Balcony	Lincoln Theatre
1811	13	24	Orchestra	Lincoln Theatre
1812	25	5	Orchestra	Lincoln Theatre
1813	21	18	Orchestra	Lincoln Theatre
1814	10	4	Lower Balcony	Lincoln Theatre
1815	1	5	Lower Balcony	Lincoln Theatre
1816	3	13	Orchestra	Lincoln Theatre
1817	2	2	Orchestra	Lincoln Theatre
1818	2	20	Orchestra	Lincoln Theatre
1819	5	20	Orchestra	Lincoln Theatre
1820	9	4	Upper Balcony	Lincoln Theatre
1821	20	3	Lower Balcony	Lincoln Theatre
1822	1	8	Lower Balcony	Lincoln Theatre
1823	22	3	Lower Balcony	Lincoln Theatre
1824	6	9	Upper Balcony	Lincoln Theatre
1825	25	22	Orchestra	Lincoln Theatre
1826	7	1	Lower Balcony	Lincoln Theatre
1827	11	5	Orchestra	Lincoln Theatre
1828	4	28	Orchestra	Lincoln Theatre
1829	6	26	Orchestra	Lincoln Theatre
1830	23	21	Orchestra	Lincoln Theatre
1831	6	6	Upper Balcony	Lincoln Theatre
1832	15	31	Orchestra	Lincoln Theatre
1833	8	2	Upper Balcony	Lincoln Theatre
1834	12	15	Orchestra	Lincoln Theatre
1835	24	13	Orchestra	Lincoln Theatre
1836	22	9	Orchestra	Lincoln Theatre
1837	15	10	Upper Balcony	Lincoln Theatre
1838	3	16	Orchestra	Lincoln Theatre
1839	11	3	Lower Balcony	Lincoln Theatre
1840	6	5	Lower Balcony	Lincoln Theatre
1841	8	8	Lower Balcony	Lincoln Theatre
1842	25	1	Orchestra	Lincoln Theatre
1843	10	9	Orchestra	Lincoln Theatre
1844	25	5	Lower Balcony	Lincoln Theatre
1845	13	11	Orchestra	Lincoln Theatre
1846	25	9	Lower Balcony	Lincoln Theatre
1847	4	16	Orchestra	Lincoln Theatre
1848	24	5	Lower Balcony	Lincoln Theatre
1849	19	11	Orchestra	Lincoln Theatre
1850	10	5	Upper Balcony	Lincoln Theatre
1851	20	26	Orchestra	Lincoln Theatre
1852	15	28	Orchestra	Lincoln Theatre
1853	4	23	Orchestra	Lincoln Theatre
1854	9	3	Lower Balcony	Lincoln Theatre
1855	13	10	Lower Balcony	Lincoln Theatre
1856	11	14	Orchestra	Lincoln Theatre
1857	6	6	Orchestra	Lincoln Theatre
1858	10	24	Orchestra	Lincoln Theatre
1859	10	17	Orchestra	Lincoln Theatre
1860	4	11	Orchestra	Lincoln Theatre
1861	23	15	Orchestra	Lincoln Theatre
1862	9	1	Upper Balcony	Lincoln Theatre
1863	18	8	Orchestra	Lincoln Theatre
1864	20	4	Orchestra	Lincoln Theatre
1866	6	9	Balcony Booths	Howard Theatre
1867	13	9	Balcony Seating	Howard Theatre
1868	13	2	Balcony Seating	Howard Theatre
1870	2	9	Balcony Booths	Howard Theatre
1871	19	4	Balcony Seating	Howard Theatre
1872	15	8	Balcony Seating	Howard Theatre
1874	18	1	Balcony Seating	Howard Theatre
1875	6	2	Balcony Booths	Howard Theatre
1876	6	1	Balcony Booths	Howard Theatre
1878	6	9	Balcony Seating	Howard Theatre
1879	19	1	Balcony Seating	Howard Theatre
1880	4	10	Balcony Seating	Howard Theatre
1882	11	4	Balcony Seating	Howard Theatre
1883	3	8	Balcony Booths	Howard Theatre
1884	2	4	Balcony Seating	Howard Theatre
1886	14	7	Balcony Seating	Howard Theatre
1887	3	6	Balcony Seating	Howard Theatre
1888	19	10	Balcony Seating	Howard Theatre
1890	1	10	Balcony Seating	Howard Theatre
1891	17	1	Balcony Seating	Howard Theatre
1892	7	2	Balcony Booths	Howard Theatre
1894	4	6	Balcony Seating	Howard Theatre
1895	3	8	Balcony Seating	Howard Theatre
1896	8	4	Balcony Seating	Howard Theatre
1898	9	5	Balcony Booths	Howard Theatre
1899	16	1	Balcony Seating	Howard Theatre
1900	11	9	Balcony Seating	Howard Theatre
1902	18	4	Balcony Seating	Howard Theatre
1903	8	3	Balcony Seating	Howard Theatre
1904	3	7	Balcony Seating	Howard Theatre
1906	5	10	Balcony Booths	Howard Theatre
1907	19	9	Balcony Seating	Howard Theatre
1908	10	1	Balcony Booths	Howard Theatre
1910	1	5	Balcony Booths	Howard Theatre
1911	19	5	Balcony Seating	Howard Theatre
1912	5	9	Balcony Booths	Howard Theatre
1914	14	5	Balcony Seating	Howard Theatre
1915	2	2	Balcony Booths	Howard Theatre
1916	9	2	Balcony Seating	Howard Theatre
1918	6	3	Balcony Booths	Howard Theatre
1919	17	10	Balcony Seating	Howard Theatre
1920	10	10	Balcony Booths	Howard Theatre
1922	6	10	Balcony Booths	Howard Theatre
1923	14	10	Balcony Seating	Howard Theatre
1924	9	25	Orchestra	Vogue Theatre
1925	19	7	Upper Circle	Vogue Theatre
1926	13	2	Orchestra	Vogue Theatre
1927	14	4	Dress Circle	Vogue Theatre
1928	12	17	Orchestra	Vogue Theatre
1929	23	7	Upper Circle	Vogue Theatre
1930	3	9	Upper Circle	Vogue Theatre
1931	3	25	Orchestra	Vogue Theatre
1932	15	13	Dress Circle	Vogue Theatre
1933	10	5	Dress Circle	Vogue Theatre
1934	20	3	Dress Circle	Vogue Theatre
1935	19	2	Upper Circle	Vogue Theatre
1936	9	1	Upper Circle	Vogue Theatre
1937	3	8	Upper Circle	Vogue Theatre
1938	8	8	Orchestra	Vogue Theatre
1939	22	19	Orchestra	Vogue Theatre
1940	2	2	Upper Circle	Vogue Theatre
1941	22	15	Orchestra	Vogue Theatre
1942	25	18	Orchestra	Vogue Theatre
1943	21	3	Orchestra	Vogue Theatre
1944	9	4	Upper Circle	Vogue Theatre
1945	19	9	Upper Circle	Vogue Theatre
1946	15	18	Orchestra	Vogue Theatre
1947	24	3	Orchestra	Vogue Theatre
1948	23	2	Orchestra	Vogue Theatre
1949	14	11	Orchestra	Vogue Theatre
1950	13	14	Dress Circle	Vogue Theatre
1951	19	8	Dress Circle	Vogue Theatre
1952	15	15	Orchestra	Vogue Theatre
1953	17	14	Dress Circle	Vogue Theatre
1954	23	1	Orchestra	Vogue Theatre
1955	3	6	Orchestra	Vogue Theatre
1956	9	8	Upper Circle	Vogue Theatre
1957	11	5	Orchestra	Vogue Theatre
1958	11	9	Dress Circle	Vogue Theatre
1959	16	14	First Balcony	Burton Cummings Theatre
1960	1	1	Second Balcony	Burton Cummings Theatre
1961	4	8	Second Balcony	Burton Cummings Theatre
1962	9	19	First Balcony	Burton Cummings Theatre
1963	9	14	First Balcony	Burton Cummings Theatre
1964	14	6	First Balcony	Burton Cummings Theatre
1965	13	11	Main Floor	Burton Cummings Theatre
1966	4	10	First Balcony	Burton Cummings Theatre
1967	8	11	Second Balcony	Burton Cummings Theatre
1968	2	25	Main Floor	Burton Cummings Theatre
1969	4	22	Main Floor	Burton Cummings Theatre
1970	19	10	Main Floor	Burton Cummings Theatre
1971	5	21	First Balcony	Burton Cummings Theatre
1972	21	13	Main Floor	Burton Cummings Theatre
1973	17	7	First Balcony	Burton Cummings Theatre
1974	22	12	Main Floor	Burton Cummings Theatre
1975	3	13	Second Balcony	Burton Cummings Theatre
1976	11	5	Second Balcony	Burton Cummings Theatre
1977	27	5	First Balcony	Burton Cummings Theatre
1978	4	17	Main Floor	Burton Cummings Theatre
1979	5	16	First Balcony	Burton Cummings Theatre
1980	19	11	Main Floor	Burton Cummings Theatre
1981	15	21	Main Floor	Burton Cummings Theatre
1982	11	2	Main Floor	Burton Cummings Theatre
1983	4	19	Main Floor	Burton Cummings Theatre
1984	3	11	Second Balcony	Burton Cummings Theatre
1985	26	17	First Balcony	Burton Cummings Theatre
1986	11	4	Second Balcony	Burton Cummings Theatre
1987	2	9	First Balcony	Burton Cummings Theatre
1988	9	2	Main Floor	Burton Cummings Theatre
1989	6	15	First Balcony	Burton Cummings Theatre
1990	16	10	First Balcony	Burton Cummings Theatre
1991	2	2	Main Floor	Burton Cummings Theatre
1992	25	3	Main Floor	Burton Cummings Theatre
1993	28	10	Main Floor	Burton Cummings Theatre
1994	27	18	First Balcony	Burton Cummings Theatre
1996	31	4	Mezzanine Reserved	HISTORY
1997	11	9	Mezzanine Reserved	HISTORY
1998	4	1	Mezzanine Reserved	HISTORY
2000	5	3	Mezzanine Reserved	HISTORY
2001	4	7	Mezzanine Reserved	HISTORY
2002	38	4	Mezzanine Reserved	HISTORY
2004	7	9	Mezzanine Reserved	HISTORY
2005	16	9	Mezzanine Reserved	HISTORY
2006	7	4	Mezzanine Reserved	HISTORY
2008	29	1	Mezzanine Reserved	HISTORY
2009	20	3	Mezzanine Reserved	HISTORY
2010	5	1	Mezzanine Reserved	HISTORY
2012	14	7	Mezzanine Reserved	HISTORY
2013	27	1	Mezzanine Reserved	HISTORY
2014	35	6	Mezzanine Reserved	HISTORY
2016	4	10	Mezzanine Reserved	HISTORY
2017	17	10	Mezzanine Reserved	HISTORY
2018	15	6	Mezzanine Reserved	HISTORY
2020	37	5	Mezzanine Reserved	HISTORY
2021	28	4	Mezzanine Reserved	HISTORY
2022	28	2	Mezzanine Reserved	HISTORY
2024	9	4	Mezzanine Reserved	HISTORY
2025	22	5	Mezzanine Reserved	HISTORY
2026	19	7	Mezzanine Reserved	HISTORY
2028	14	8	Mezzanine Reserved	HISTORY
2029	11	7	Mezzanine Reserved	HISTORY
2030	26	6	Mezzanine Reserved	HISTORY
2032	1	3	Mezzanine Reserved	HISTORY
2034	48	23	Balcony 2	The Anthem
2035	18	17	Balcony 2	The Anthem
2036	8	21	Balcony 2	The Anthem
2038	47	10	Balcony 2	The Anthem
2039	18	17	Balcony 1	The Anthem
2040	30	15	Balcony 1	The Anthem
2042	44	14	Balcony 2	The Anthem
2043	49	4	Balcony 1	The Anthem
2044	48	5	Balcony 2	The Anthem
2046	6	18	Balcony 2	The Anthem
2047	27	17	Balcony 1	The Anthem
2048	15	23	Balcony 1	The Anthem
2050	28	4	Balcony 1	The Anthem
2051	3	6	Balcony 1	The Anthem
2052	18	16	Balcony 2	The Anthem
2054	10	2	Balcony 2	The Anthem
2055	11	2	Balcony 2	The Anthem
2056	8	23	Balcony 2	The Anthem
2058	33	17	Balcony 2	The Anthem
2059	19	15	Balcony 2	The Anthem
2060	19	20	Balcony 2	The Anthem
2062	44	21	Balcony 2	The Anthem
2063	3	9	Balcony 2	The Anthem
2064	4	6	Balcony 1	The Anthem
2066	33	10	Balcony 2	The Anthem
2067	9	9	Balcony 2	The Anthem
2068	35	24	Balcony 1	The Anthem
2070	11	9	Balcony 2	The Anthem
2071	36	8	Balcony 1	The Anthem
2073	8	3	Opera Boxes	Thalia Hall
2074	2	1	Opera Boxes	Thalia Hall
2075	20	2	Seated Balcony	Thalia Hall
2077	22	3	Seated Balcony	Thalia Hall
2078	12	7	Seated Balcony	Thalia Hall
2079	2	3	Seated Balcony	Thalia Hall
2081	23	3	Seated Balcony	Thalia Hall
2082	10	3	Opera Boxes	Thalia Hall
2083	11	9	Seated Balcony	Thalia Hall
2085	3	10	Seated Balcony	Thalia Hall
2086	8	6	Seated Balcony	Thalia Hall
2087	9	7	Seated Balcony	Thalia Hall
2089	11	3	Seated Balcony	Thalia Hall
2090	13	9	Seated Balcony	Thalia Hall
2091	6	4	Seated Balcony	Thalia Hall
2093	4	10	Seated Balcony	Thalia Hall
2094	2	5	Opera Boxes	Thalia Hall
2095	15	2	Seated Balcony	Thalia Hall
2097	14	5	Seated Balcony	Thalia Hall
2098	2	9	Seated Balcony	Thalia Hall
2099	20	1	Seated Balcony	Thalia Hall
2101	10	9	Seated Balcony	Thalia Hall
2102	23	4	Seated Balcony	Thalia Hall
2103	5	2	Opera Boxes	Thalia Hall
2105	1	5	Seated Balcony	Thalia Hall
2106	1	1	Seated Balcony	Thalia Hall
2107	12	3	Seated Balcony	Thalia Hall
2109	16	2	Seated Balcony	Thalia Hall
2110	18	5	Seated Balcony	Thalia Hall
2111	11	6	Seated Balcony	Thalia Hall
2112	1	1	Balcony	Capitol Theatre Windsor
2113	2	1	Balcony	Capitol Theatre Windsor
2114	3	1	Balcony	Capitol Theatre Windsor
2115	4	1	Balcony	Capitol Theatre Windsor
2116	5	1	Balcony	Capitol Theatre Windsor
2117	6	1	Balcony	Capitol Theatre Windsor
2118	7	1	Balcony	Capitol Theatre Windsor
2119	8	1	Balcony	Capitol Theatre Windsor
2120	9	1	Balcony	Capitol Theatre Windsor
2121	10	1	Balcony	Capitol Theatre Windsor
2122	11	1	Balcony	Capitol Theatre Windsor
2123	12	1	Balcony	Capitol Theatre Windsor
2124	13	1	Balcony	Capitol Theatre Windsor
2125	14	1	Balcony	Capitol Theatre Windsor
2126	15	1	Balcony	Capitol Theatre Windsor
2127	16	1	Balcony	Capitol Theatre Windsor
2128	17	1	Balcony	Capitol Theatre Windsor
2129	18	1	Balcony	Capitol Theatre Windsor
2130	19	1	Balcony	Capitol Theatre Windsor
2131	20	1	Balcony	Capitol Theatre Windsor
2132	1	2	Balcony	Capitol Theatre Windsor
2133	2	2	Balcony	Capitol Theatre Windsor
2134	3	2	Balcony	Capitol Theatre Windsor
2135	4	2	Balcony	Capitol Theatre Windsor
2136	5	2	Balcony	Capitol Theatre Windsor
2137	6	2	Balcony	Capitol Theatre Windsor
2138	7	2	Balcony	Capitol Theatre Windsor
2139	8	2	Balcony	Capitol Theatre Windsor
2140	9	2	Balcony	Capitol Theatre Windsor
2141	10	2	Balcony	Capitol Theatre Windsor
2142	11	2	Balcony	Capitol Theatre Windsor
2143	12	2	Balcony	Capitol Theatre Windsor
2144	13	2	Balcony	Capitol Theatre Windsor
2145	14	2	Balcony	Capitol Theatre Windsor
2146	15	2	Balcony	Capitol Theatre Windsor
2147	16	2	Balcony	Capitol Theatre Windsor
2148	17	2	Balcony	Capitol Theatre Windsor
2149	18	2	Balcony	Capitol Theatre Windsor
2150	19	2	Balcony	Capitol Theatre Windsor
2151	20	2	Balcony	Capitol Theatre Windsor
2152	1	3	Balcony	Capitol Theatre Windsor
2153	2	3	Balcony	Capitol Theatre Windsor
2154	3	3	Balcony	Capitol Theatre Windsor
2155	4	3	Balcony	Capitol Theatre Windsor
2156	5	3	Balcony	Capitol Theatre Windsor
2157	6	3	Balcony	Capitol Theatre Windsor
2158	7	3	Balcony	Capitol Theatre Windsor
2159	8	3	Balcony	Capitol Theatre Windsor
2160	9	3	Balcony	Capitol Theatre Windsor
2161	10	3	Balcony	Capitol Theatre Windsor
2162	11	3	Balcony	Capitol Theatre Windsor
2163	12	3	Balcony	Capitol Theatre Windsor
2164	13	3	Balcony	Capitol Theatre Windsor
2165	14	3	Balcony	Capitol Theatre Windsor
2166	15	3	Balcony	Capitol Theatre Windsor
2167	16	3	Balcony	Capitol Theatre Windsor
2168	17	3	Balcony	Capitol Theatre Windsor
2169	18	3	Balcony	Capitol Theatre Windsor
2170	19	3	Balcony	Capitol Theatre Windsor
2171	20	3	Balcony	Capitol Theatre Windsor
2172	1	4	Balcony	Capitol Theatre Windsor
2173	2	4	Balcony	Capitol Theatre Windsor
2174	3	4	Balcony	Capitol Theatre Windsor
2175	4	4	Balcony	Capitol Theatre Windsor
2176	5	4	Balcony	Capitol Theatre Windsor
2177	6	4	Balcony	Capitol Theatre Windsor
2178	7	4	Balcony	Capitol Theatre Windsor
2179	8	4	Balcony	Capitol Theatre Windsor
2180	9	4	Balcony	Capitol Theatre Windsor
2181	10	4	Balcony	Capitol Theatre Windsor
2182	11	4	Balcony	Capitol Theatre Windsor
2183	12	4	Balcony	Capitol Theatre Windsor
2184	13	4	Balcony	Capitol Theatre Windsor
2185	14	4	Balcony	Capitol Theatre Windsor
2186	15	4	Balcony	Capitol Theatre Windsor
2187	16	4	Balcony	Capitol Theatre Windsor
2188	17	4	Balcony	Capitol Theatre Windsor
2189	18	4	Balcony	Capitol Theatre Windsor
2190	19	4	Balcony	Capitol Theatre Windsor
2191	20	4	Balcony	Capitol Theatre Windsor
2192	1	5	Balcony	Capitol Theatre Windsor
